Ho_Ten,Gioi_Tinh,Ma_SV,Nganh,Khu_Vuc,Loai_Phong,Khoang_Cach_km,Gia_Thue_Trieu,So_Nguoi,Phuong_Tien
Nguyễn Văn An,Nam,HE185306,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,3.1,2.1,2.0,Xe máy
Trần Thị Bình,Nữ,HA192472,Quản trị kinh doanh,Thạch Hòa,Phòng trọ cơ bản,3.2,2.1,2.0,Xe máy
Lê Hoàng Cường,Nam,HS196469,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,1.9,2.1,2.0,Đi bộ
Phạm Thị Dung,Nữ,HE180792,Công nghệ thông tin,Dom A,Ký túc xá,0.2,1.1,4.0,Đi bộ
Hoàng Văn Thắng,Nam,HC181187,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,5.0,1.9,1.0,Xe buýt
Vũ Thị Phương,Nữ,HE188780,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,2.5,2.3,1.0,Xe máy
Đoàn Văn Giang,Nam,HS191543,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,4.5,1.9,1.0,Xe máy
Bùi Thị Hoa,Nữ,HE195992,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,6.2,1.8,2.0,Xe buýt
Nguyễn Hải Đăng,Nam,HC199549,Thiết kế mỹ thuật số,Tân Xã,Phòng trọ cơ bản,3.7,2.1,1.0,Xe máy
Lê Khắc Khánh,Nam,HC200951,Thiết kế mỹ thuật số,Dom B,Ký túc xá,0.3,1.1,4.0,Đi bộ
Phan Thị Lan,Nữ,HE198314,Công nghệ thông tin,Thạch Hòa,Phòng trọ cơ bản,3.5,2.1,1.0,Xe máy
Trần Mạnh,Nam,HC203518,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,7.0,1.5,2.0,Xe buýt
Nguyễn Thị Ngân,Nữ,HA190615,Quản trị kinh doanh,Tân Xã,Phòng trọ cơ bản,2.7,2.4,1.0,Xe máy
Lê Văn Oanh,Nam,HS201409,An toàn thông tin,Dom C,Ký túc xá,0.4,1.1,4.0,Đi bộ
Phùng Thị Cúc,Nữ,HE187105,Công nghệ thông tin,Thạch Hòa,Chung cư mini,4.0,2.6,2.0,Xe máy
Đoàn Quân,Nam,HC186852,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,5.5,1.8,1.0,Xe buýt
Nguyễn Văn Trung,Nam,HA201145,Quản trị kinh doanh,Tân Xã,Phòng trọ cơ bản,3.5,2.2,1.0,Xe máy
Trần Thị Sen,Nữ,HA183944,Quản trị kinh doanh,Dom D,Ký túc xá,0.5,1.1,4.0,Đi bộ
Lê Văn Toàn,Nam,HC181487,Thiết kế mỹ thuật số,Thạch Hòa,Phòng trọ cơ bản,2.8,2.0,1.0,Xe máy
Phạm Thị Uyên,Nữ,HC189029,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,8.0,1.4,1.0,Xe buýt
Vũ Văn Vàng,Nam,HA206956,Quản trị kinh doanh,Tân Xã,Phòng trọ cơ bản,4.3,1.9,2.0,Xe máy
Hoàng Thị Xuân,Nữ,HS180969,An toàn thông tin,Thạch Hòa,Chung cư mini,3.0,3.1,2.0,Xe máy
Bùi Văn Yến,Nam,HE199265,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,6.5,1.7,2.0,Xe buýt
Nguyễn Xuân Anh,Nữ,HA182029,Quản trị kinh doanh,Dom A,Ký túc xá,0.2,1.1,4.0,Đi bộ
Lê Thị Bé,Nữ,HS183658,An toàn thông tin,Tân Xã,Chung cư mini/Studio,3.1,2.8,2.0,Xe máy
Trần Văn Chính,Nam,HC209552,Thiết kế mỹ thuật số,Thạch Hòa,Phòng trọ cơ bản,4.2,1.8,1.0,Xe máy
Phạm Thị Đoan,Nữ,HC201014,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,5.2,1.9,2.0,Xe buýt
Vũ Văn Đạt,Nam,HS209456,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,2.3,2.3,2.0,Xe máy
Hoàng Thị Gấm,Nữ,HA199594,Quản trị kinh doanh,Dom B,Ký túc xá,0.3,1.1,4.0,Đi bộ
Bùi Văn Hùng,Nam,HA186500,Quản trị kinh doanh,Thạch Hòa,Chung cư mini,3.8,2.9,2.0,Xe máy
Nguyễn Thị Linh,Nữ,HS190813,An toàn thông tin,Hòa Lạc,Phòng khép kín,7.5,1.5,2.0,Xe buýt
Lê Văn Kiên,Nam,HS213623,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,3.9,2.0,1.0,Xe máy
Phan Thị Liễu,Nữ,HC200764,Thiết kế mỹ thuật số,Dom C,Ký túc xá,0.4,1.1,4.0,Đi bộ
Trần Văn Minh,Nam,HS209121,An toàn thông tin,Thạch Hòa,Chung cư mini,2.5,3.1,2.0,Xe máy
Nguyễn Thị Như,Nữ,HE192182,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,6.0,1.9,1.0,Xe buýt
Lê Văn Phong,Nam,HE204745,Công nghệ thông tin,Tân Xã,Chung cư mini/Studio,2.6,3.0,2.0,Xe máy
Phùng Thị Quỳnh,Nữ,HC206868,Thiết kế mỹ thuật số,Dom D,Ký túc xá,0.6,1.1,4.0,Đi bộ
Đoàn Văn Sinh,Nam,HE192364,Công nghệ thông tin,Thạch Hòa,Chung cư mini,3.3,2.8,2.0,Xe máy
Nguyễn Thị Tú,Nữ,HA198859,Quản trị kinh doanh,Hòa Lạc,Phòng khép kín,4.8,2.0,1.0,Xe buýt
Trần Văn Uy,Nam,HC211930,Thiết kế mỹ thuật số,Tân Xã,Chung cư mini/Studio,3.3,2.9,3.0,Xe máy
Lê Thị Vy,Nữ,HC199354,Thiết kế mỹ thuật số,Dom A,Ký túc xá,0.1,1.1,4.0,Đi bộ
Phạm Văn Hùng,Nam,HA195055,Quản trị kinh doanh,Thạch Hòa,Phòng trọ cơ bản,2.9,2.2,2.0,Xe máy
Vũ Thị Yến,Nữ,HS209180,An toàn thông tin,Hòa Lạc,Phòng khép kín,5.8,1.7,2.0,Xe buýt
Hoàng Văn An,Nam,HC212962,Thiết kế mỹ thuật số,Tân Xã,Chung cư mini/Studio,2.9,2.7,3.0,Xe máy
Bùi Thị Bình,Nữ,HA191689,Quản trị kinh doanh,Dom B,Ký túc xá,0.2,1.1,4.0,Đi bộ
Nguyễn Văn Cung,Nam,HS219529,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,3.6,2.0,2.0,Xe máy
Lê Thị Dung,Nữ,HE189359,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,8.5,1.2,2.0,Xe buýt
Trần Văn Hiếu,Nam,HE193079,Công nghệ thông tin,Tân Xã,Chung cư mini/Studio,3.6,3.1,3.0,Xe máy
Phạm Thị Gấm,Nữ,HS216102,An toàn thông tin,Dom C,Ký túc xá,0.3,1.1,4.0,Đi bộ
Vũ Văn Hải,Nam,HE211597,Công nghệ thông tin,Thạch Hòa,Phòng trọ cơ bản,4.1,1.9,2.0,Xe máy
Hoàng Thị Khoa,Nữ,HC218975,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,6.8,1.6,1.0,Xe buýt
Bùi Văn Long,Nam,HA181029,Quản trị kinh doanh,Tân Xã,Phòng trọ cơ bản,4.2,2.1,2.0,Xe máy
Nguyễn Thị Mỹ,Nữ,HE209247,Công nghệ thông tin,Dom D,Ký túc xá,0.7,1.1,4.0,Đi bộ
Lê Văn Nam,Nam,HA180977,Quản trị kinh doanh,Thạch Hòa,Phòng trọ cơ bản,3.1,2.0,1.0,Xe máy
Phan Thị Oanh,Nữ,HA213375,Quản trị kinh doanh,Hòa Lạc,Phòng khép kín,5.3,1.9,1.0,Xe buýt
