Ho_Ten,Khu_Vuc,Khoang_Cach_km,Gia_Thue_Trieu,So_Nguoi,Phuong_Tien
Nguyen Van An,Tan Xa,1.5,2.8,2,Xe may
Tran Thi Binh,Thach Hoa,3.2,1.8,1,Xe may
Le Hoang Cuong,Tan Xa,0.5,3.2,2,Di bo
Pham Thi Dung,Dom A,0.2,3.5,4,Di bo
Hoang Van Em,Hoa Lac,5.0,1.5,1,Xe buyt
Vu Thi Phuong,Tan Xa,1.0,3.0,2,Xe may
Doan Van Giang,Thach Hoa,4.5,1.6,1,Xe may
Bui Thi Hoa,Hoa Lac,6.2,1.2,1,Xe buyt
Nguyen Hai Dang,Tan Xa,2.0,2.5,2,Xe may
Le Khac Khanh,Dom B,0.3,3.4,4,Di bo
Phan Thi Lan,Thach Hoa,3.5,1.7,2,Xe may
Tran Manh,Hoa Lac,7.0,1.1,1,Xe buyt
Nguyen Thi Ngan,Tan Xa,1.2,2.9,2,Xe may
Le Van Oanh,Dom C,0.4,3.3,4,Di bo
Phung Thi Cuc,Thach Hoa,4.0,1.5,1,Xe may
Doan Quan,Hoa Lac,5.5,1.4,1,Xe buyt
Nguyen Van Rinh,Tan Xa,1.8,2.6,2,Xe may
Tran Thi Sen,Dom D,0.5,3.1,4,Di bo
Le Van Toan,Thach Hoa,2.8,2.0,2,Xe may
Pham Thi Uyen,Hoa Lac,8.0,0.9,1,Xe buyt
Vu Van Vang,Tan Xa,2.5,2.2,2,Xe may
Hoang Thi Xuan,Thach Hoa,3.0,1.9,1,Xe may
Bui Van Yen,Hoa Lac,6.5,1.2,1,Xe buyt
Nguyen Xuan Anh,Dom A,0.2,3.4,4,Di bo
Le Thi Be,Tan Xa,1.5,2.7,2,Xe may
Tran Van Chinh,Thach Hoa,4.2,1.6,1,Xe may
Pham Thi Doan,Hoa Lac,5.2,1.4,1,Xe buyt
Vu Van E,Tan Xa,0.8,3.1,2,Xe may
Hoang Thi Gam,Dom B,0.3,3.5,4,Di bo
Bui Van Hung,Thach Hoa,3.8,1.7,2,Xe may
Nguyen Thi Inh,Hoa Lac,7.5,1.0,1,Xe buyt
Le Van Kien,Tan Xa,2.2,2.4,2,Xe may
Phan Thi Lieu,Dom C,0.4,3.2,4,Di bo
Tran Van Minh,Thach Hoa,2.5,2.1,1,Xe may
Nguyen Thi Nhu,Hoa Lac,6.0,1.3,1,Xe buyt
Le Van Phong,Tan Xa,1.1,2.9,2,Xe may
Phung Thi Quynh,Dom D,0.6,3.0,4,Di bo
Doan Van Sinh,Thach Hoa,3.3,1.8,2,Xe may
Nguyen Thi Tu,Hoa Lac,4.8,1.5,1,Xe buyt
Tran Van Uy,Tan Xa,1.7,2.7,2,Xe may
Le Thi Vy,Dom A,0.1,3.6,4,Di bo
Pham Van Xung,Thach Hoa,2.9,1.9,1,Xe may
Vu Thi Yen,Hoa Lac,5.8,1.3,1,Xe buyt
Hoang Van An,Tan Xa,1.3,2.8,2,Xe may
Bui Thi Binh,Dom B,0.2,3.5,4,Di bo
Nguyen Van Cung,Thach Hoa,3.6,1.7,2,Xe may
Le Thi Dung,Hoa Lac,8.5,0.8,1,Xe buyt
Tran Van Em,Tan Xa,1.9,2.5,2,Xe may
Pham Thi Gam,Dom C,0.3,3.4,4,Di bo
Vu Van Hai,Thach Hoa,4.1,1.5,1,Xe may
Hoang Thi Khoa,Hoa Lac,6.8,1.1,1,Xe buyt
Bui Van Long,Tan Xa,2.4,2.2,2,Xe may
Nguyen Thi My,Dom D,0.7,3.0,4,Di bo
Le Van Nam,Thach Hoa,3.1,1.9,2,Xe may
Phan Thi Oanh,Hoa Lac,5.3,1.4,1,Xe buyt
Tran Van Phat,Tan Xa,0.9,3.1,2,Xe may
Nguyen Thi Quoc,Dom A,0.1,3.5,4,Di bo
Le Van Sang,Thach Hoa,2.7,2.0,1,Xe may
Phung Thi Tam,Hoa Lac,7.2,1.0,1,Xe buyt
Doan Van Uy,Tan Xa,1.6,2.6,2,Xe may
Nguyen Thi Vui,Dom B,0.4,3.3,4,Di bo
Tran Van Xa,Thach Hoa,3.9,1.6,2,Xe may
Le Thi Y,Hoa Lac,4.9,1.5,1,Xe buyt
Pham Van An,Tan Xa,2.1,2.4,2,Xe may
Vu Thi Bau,Dom C,0.5,3.2,4,Di bo
Hoang Van Chung,Thach Hoa,3.4,1.8,1,Xe may
Bui Thi Dao,Hoa Lac,6.4,1.2,1,Xe buyt
Nguyen Van En,Tan Xa,1.4,2.8,2,Xe may
Le Thi Giap,Dom D,0.2,3.5,4,Di bo
Tran Van Huong,Thach Hoa,4.6,1.5,2,Xe may
Pham Thi Kieu,Hoa Lac,5.9,1.3,1,Xe buyt
Vu Van Loc,Tan Xa,2.3,2.3,2,Xe may
Hoang Thi Mai,Dom A,0.3,3.4,4,Di bo
Bui Van Ngoc,Thach Hoa,2.6,2.1,1,Xe may
Nguyen Thi O,Hoa Lac,7.8,0.9,1,Xe buyt
Le Van Phu,Tan Xa,1.0,3.0,2,Xe may
Phan Thi Quy,Dom B,0.6,3.1,4,Di bo
Tran Van Ru,Thach Hoa,3.7,1.7,2,Xe may
Nguyen Thi Su,Hoa Lac,5.1,1.4,1,Xe buyt
Le Van Tin,Tan Xa,1.8,2.5,2,Xe may
Phung Thi Uyen,Dom C,0.1,3.6,4,Di bo
Doan Van Vinh,Thach Hoa,4.3,1.5,1,Xe may
Nguyen Thi Xuan,Hoa Lac,8.2,0.8,1,Xe buyt
Tran Van Yen,Tan Xa,0.7,3.2,2,Xe may
Le Thi An,Dom D,0.4,3.3,4,Di bo
Pham Van Bang,Thach Hoa,3.0,1.9,2,Xe may
Vu Thi Canh,Hoa Lac,6.1,1.2,1,Xe buyt
Hoang Van Dinh,Tan Xa,2.5,2.1,2,Xe may
Bui Thi En,Dom A,0.5,3.1,4,Di bo
Nguyen Van Giao,Thach Hoa,4.4,1.5,1,Xe may
Le Thi Hanh,Hoa Lac,5.6,1.3,1,Xe buyt
Tran Van Inh,Tan Xa,1.5,2.7,2,Xe may
Pham Thi Khanh,Dom B,0.2,3.4,4,Di bo
Vu Van Lam,Thach Hoa,3.2,1.8,2,Xe may
Hoang Thi Nhu,Hoa Lac,7.1,1.0,1,Xe buyt
Bui Van Oanh,Tan Xa,1.2,2.9,2,Xe may
Nguyen Thi Phuc,Dom C,0.7,2.9,4,Di bo
Le Van Quan,Thach Hoa,2.8,2.0,1,Xe may
Phan Thi Rinh,Hoa Lac,4.7,1.6,1,Xe buyt
Tran Van Son,Tan Xa,2.0,2.4,2,Xe may
